phrase|label
|50
How did serfdom develop in and then leave Russia \?|4
What films featured the character Popeye Doyle \?|9
How can I find a list of celebrities ' real names \?|4
What fowl grabs the spotlight after the Chinese Year of the Monkey \?|6
What is the full form of com \?|1
What contemptible scoundrel stole the cork from my lunch \?|30
What team did baseball 's St Louis Browns become \?|29
What is the oldest profession \?|31
What are liver enzymes \?|2
Name the scar faced bounty hunter of The Old West|30
When was Ozzy Osbourne born \?|39
Why do heavier objects travel downhill faster \?|5
Who was The Pride of the Yankees \?|30
Who killed Gandhi \?|30
What is considered the costliest disaster the insurance industry has ever faced \?|12
What sprawling U S state boasts the most airports \?|36
What did the only repealed amendment to the U S Constitution deal with \?|3
How many Jews were executed in concentration camps during WWII \?|38
What is `` Nine Inch Nails '' \?|2
What is an annotated bibliography \?|2
What is the date of Boxing Day \?|39
What articles of clothing are tokens in Monopoly \?|17
Name 11 famous martyrs|30
What 's the Olympic motto \?|3
What is the origin of the name ` Scarlett ' \?|3
What 's the second most used vowel in English \?|16
Who was the inventor of silly putty \?|30
What is the highest waterfall in the United States \?|35
Name a golf course in Myrtle Beach|17
Which two states enclose Chesapeake Bay \?|36
What does the abbreviation AIDS stand for \?|1
What does a spermologer collect \?|17
How many points make up a perfect fivepin bowling score \?|38
Which company that manufactures video game hardware sells the `` super system '' \?|29
How many Community Chest cards are there in Monopoly \?|38
What do Mormons believe \?|3
When did the neanderthal man live \?|39
In what religion was Isis the nature goddess \?|20
Where do the adventures of `` The Swiss Family Robinson '' take place \?|35
What relative of the racoon is sometimes known as the cat bear \?|6
How can I register my website in Yahoo for free \?|4
What was cash conscious Colonel Edwin L Drake the first to drill \?|17
How many people in the world speak French \?|38
How many inches over six feet is the Venus de Milo \?|38
How do they find or choose witnesses to an execution \?|4
What 1920s cowboy star rode Tony the Wonder Horse \?|30
What cocktail inspired John Doxat to write the book Stirred Not Shaken \?|13
What ISPs exist in the Caribbean \?|29
How do you ask a total stranger out on a date \?|4
What weapon is the mythological character Apollo most proficient with \?|17
What country do the Galapagos Islands belong to \?|33
What is ethology \?|2
Who was the prophet of the Muslim people \?|30
Where did the term `` 86ed '' come from \?|3
Who is Snoopy 's arch enemy \?|30
What is the nature of learning \?|2
What 's the only color Johnny Cash wears on stage \?|8
What 's the term for a young fox \?|25
What U S state lived under six flags \?|36
What is the Kashmir issue \?|2
Where is the Loop \?|35
What does `` extended definition '' mean and how would one write a paper on it \?|2
What country 's capital is Tirana \?|33
What is titanium \?|2
Who do Herb and Tootsie live next door to \?|30
Which city has the oldest relationship as a sistercity with Los Angeles \?|32
What is a caldera \?|2
Why do people get calluses \?|5
What are the names of the tourist attractions in Reims \?|35
What are Cushman and Wakefield known for \?|5
What body of water does the Danube River flow into \?|35
Who is the founder of Scientology \?|30
What does the six footed Musca domestica become when it enters a house \?|17
What is the history of skateboarding \?|3
Who starred in Singing in the Rain and The Singing Nun \?|30
How do I make fuel bricks from recycled newspaper \?|4
What 19th century painter died in the Marquesas Islands \?|30
